Codigo,Entidad,Nombre Fantasia,Comuna,Longitud,Latitud
59,Serviestado,59-SERVIESTADO,Las Condes,-70.51623336987691,-33.4010283139606
60,Serviestado,60-SERVIESTADO,Santiago,-70.64487199999999,-33.44272566
61,Serviestado,61-SERVIESTADO,Maipu,-70.750752,-33.486436
64,Serviestado,64-SERVIESTADO,La Cisterna,-70.66306931558971,-33.533298356525606
66,Serviestado,66-SERVIESTADO,Maipu,-70.75917383,-33.50796909
74,Serviestado,74-SERVIESTADO,Conchali,-70.67138398,-33.39605624
83,Serviestado,83-SERVIESTADO,Melipilla,-71.21380708,-33.68207521
94,Serviestado,94-SERVIESTADO,Peñaflor,-70.878772926207,-33.6109281047966
112,Serviestado,112-SERVIESTADO,Puente Alto,-70.5774851721172,-33.5995494428859
156,Serviestado,156-SERVIESTADO,San Joaquin,-70.6313068416836,-33.490155691717
202,Servipag,202-CRP PROVIDENCIA,Providencia,-70.60100524,-33.41922206
206,Servipag,206-CRP SAN BERNARDO,San Bernardo,-70.7039004651875,-33.5916795375606
213,Servipag,213-APUMANQUE,Las Condes,-70.569010977473,-33.4102508929983
221,Servipag,221-CRP PUENTE ALTO,Puente Alto,-70.57535194100001,-33.612341441999895
226,Servipag,226-MIRAFLORES,Santiago,-70.645476579007,-33.439101552081105
229,Servipag,229-CRP REPUBLICA,Estacion Central,-70.6820469259232,-33.4520954959025
250,Servipag,250-CRP ESTADO,Santiago,-70.648471,-33.442958000000004
256,Servipag,256-SUP. LIDER GRAN AVENIDA,San Miguel,-70.65708854,-33.51229164
258,Servipag,258-CRP LA FLORIDA,La Florida,-70.60002583431209,-33.5186525387528
302,Servipag,302-MALL PARQUE ARAUCO,Las Condes,-70.57631265,-33.40036695
303,Servipag,303-LIDER EL ALBA,Las Condes,-70.51623336987691,-33.4010283139606
304,Servipag,304-JUMBO BILBAO,Las Condes,-70.57874111,-33.43115065
305,Servipag,305-JUMBO ALTO LAS CONDES,Las Condes,-70.54556044,-33.38904057
308,Servipag,308-LIDER MACUL,Macul,-70.59890147,-33.47415316
310,Servipag,310-MONTSERRAT IRARRAZAVAL,Ñuñoa,-70.61544197,-33.45320082
314,Servipag,314-EL MOLINO SANTA ROSA,Santiago,-70.64223536,-33.4723934
316,Servipag,316-JUMBO MAIPU,Maipu,-70.75146343,-33.48562899
318,Servipag,318-MONTSERRAT MAIPU,Maipu,-70.77504674,-33.53146787
319,Servipag,319-MALL PLAZA OESTE TOTTUS,Cerrillos,-70.71741989,-33.51506134
321,Servipag,321-SANTA ISABEL MELIPILLA,Melipilla,-71.2150168275476,-33.691524174789556
322,Servipag,322-SANTA ISABEL SAN PABLO,Quinta Normal,-70.70182802,-33.44017841
325,Servipag,325-LIDER MAIPU,Maipu,-70.74546174,-33.48156735
331,Servipag,331-MONTSERRAT INDEPENDENCIA,Independencia,-70.6605243636465,-33.4069322647918
336,Servipag,336-MONTSERRAT EL PEÑON,Puente Alto,-70.55872528,-33.5946649
340,Servipag,340-SANTA ISABEL EL BOSQUE,El Bosque,-70.67225258,-33.55034267
373,Servipag,373-SANTA ISABEL LA REINA,La Reina,-70.56074049,-33.4526017
374,Servipag,374-SANTA ISABEL GRECIA ,Peñalolen,-70.57455351,-33.46953054
377,Servipag,377-MALL PLAZA VIVACETA,Independencia,-70.66312044,-33.42030144
380,Servipag,380-SANTA ISABEL LA GRANJA,La Granja,-70.63540359,-33.52809713
383,Servipag,383-LIDER VITACURA,Vitacura,-70.56810589,-33.38648768
396,Servipag,396-SAN FRANCISCO SAN BERNARDO,San Bernardo,-70.69895949,-33.594275599999996
397,Servipag,397-MONTSERRAT QUINTA NORMAL,Quinta Normal,-70.692454,-33.431504
398,Servipag,398-SAN FRANCISCO BUIN,Buin,-70.73605970000001,-33.73200032
403,Servipag,403-CENTRO COMERCIAL TIKAL,Estacion Central,-70.68835859852541,-33.4540955747439
404,Servipag,404-LIDER SANTA AMALIA,La Florida,-70.5649315757077,-33.5435414237331
405,Servipag,405-LIDER LA REINA,La Reina,-70.54715961,-33.462534600000005
406,Servipag,406-EL MERCURIO,Vitacura,-70.59256643,-33.38395175
414,Servipag,414-Sup. Montserrat El Bosque,El Bosque,-70.69086563145319,-33.574270112707
416,Servipag,416-UNIVERSIDAD DE CHILE BEAUCHEF,Santiago,-70.66381229191809,-33.457300701033894
417,Servipag,417-MALL PLAZA LYON,Providencia,-70.60934021,-33.42280189
418,Servipag,418-LIDER QUILIN,Peñalolen,-70.57936076,-33.48523393
424,Fullcarga,EL RINCON DEL GUSTO MAIPU,Maipu,-70.78499316536549,-33.5344277734798
426,Servipag,426-SODIMAC RENCA,Renca,-70.68553679,-33.39759061
439,Servipag,439-LIDER RECOLETA,Recoleta,-70.64247582,-33.39382816
442,Servipag,442-LIDER LAS CONDES,Lo Barnechea,-70.51239755,-33.37071232
446,Servipag,446-DERCO QUILICURA,Quilicura,-70.70672087,-33.36991472
454,Servipag,454-JUMBO PAJARITOS (EX MONTECARLO),Maipu,-70.7572239,-33.49796996
457,Servipag,457-JUMBO LA FLORIDA,La Florida,-70.60851559,-33.51071617
460,Servipag,460-MUNICIPALIDAD DE CONCHALI,Conchali,-70.66966449,-33.39823886
464,Servipag,464-TOPs PUENTE ALTO,Puente Alto,-70.57771977,-33.60129009
471,Servipag,471-SHOPPING LA DEHESA,Lo Barnechea,-70.52079272,-33.35295179
474,Servipag,474-JUMBO LA REINA,Las Condes,-70.54065413,-33.42865955
475,Servipag,475-MONTSERRAT CONCHALI,Conchali,-70.67197428,-33.3953728
481,Servipag,481-DGA CIVIL,Providencia,-70.61789931,-33.44093974
